z, km;O2;O3;CO2;O(3P);N2;Tg ;S.-R. C.;LyA;Hartley;J_b0;J_b1;J_b2;SZA>90;O2(b,1)
120;4.890E+10;1.480E+02;3.350E+07;1.410E+11;3.990E+11;3.400E+02;2.026E-06;6.027E-09;8.479E-03;5.375E-09;2.953E-10;7.939E-12;9.999E-01;1.070E+04
115;1.340E+11;2.020E+03;1.040E+08;2.550E+11;9.400E+11;2.466E+02;1.490E-06;6.024E-09;8.479E-03;5.374E-09;2.953E-10;7.939E-12;9.998E-01;1.363E+04
110;4.020E+11;3.460E+04;3.530E+08;4.930E+11;2.420E+12;2.007E+02;7.617E-07;6.015E-09;8.479E-03;5.373E-09;2.952E-10;7.937E-12;9.997E-01;1.169E+04
105;9.350E+11;5.080E+05;8.400E+08;7.880E+11;4.880E+12;2.127E+02;3.316E-07;5.991E-09;8.479E-03;5.372E-09;2.951E-10;7.935E-12;9.994E-01;7.747E+03
100;2.270E+12;5.810E+06;2.570E+09;9.710E+11;1.060E+13;2.153E+02;1.199E-07;5.932E-09;8.479E-03;5.369E-09;2.950E-10;7.931E-12;9.989E-01;5.257E+03
95;6.490E+12;3.570E+07;8.500E+09;1.120E+12;2.820E+13;1.895E+02;2.879E-08;5.781E-09;8.478E-03;5.364E-09;2.947E-10;7.924E-12;9.979E-01;4.098E+03
90;1.340E+13;8.270E+07;1.900E+10;4.050E+11;5.530E+13;2.163E+02;3.364E-09;5.451E-09;8.476E-03;5.355E-09;2.942E-10;7.910E-12;9.962E-01;3.780E+03
85;3.210E+13;8.160E+07;4.840E+10;1.130E+11;1.280E+14;2.061E+02;1.221E-10;4.767E-09;8.472E-03;5.338E-09;2.933E-10;7.885E-12;9.931E-01;1.780E+03
80;7.120E+13;1.730E+08;1.150E+11;3.430E+10;2.790E+14;2.128E+02;3.068E-12;3.491E-09;8.467E-03;5.307E-09;2.916E-10;7.840E-12;9.873E-01;1.690E+03
75;1.410E+14;1.080E+08;2.410E+11;1.230E+10;5.460E+14;2.300E+02;5.196E-15;1.845E-09;8.461E-03;5.251E-09;2.885E-10;7.757E-12;9.769E-01;6.174E+02
70;3.190E+14;4.870E+08;5.590E+11;5.670E+09;1.220E+15;2.175E+02;6.804E-21;4.760E-10;8.453E-03;5.150E-09;2.829E-10;7.607E-12;9.581E-01;1.061E+03
65;6.690E+14;2.380E+09;1.170E+12;6.970E+09;2.520E+15;2.239E+02;1.179E-33;2.521E-11;8.408E-03;4.508E-09;2.707E-10;7.261E-12;9.245E-01;2.311E+03
60;1.270E+15;7.610E+09;2.210E+12;7.560E+09;4.730E+15;2.426E+02;0.000E+00;7.752E-14;8.247E-03;3.954E-09;2.528E-10;6.759E-12;8.661E-01;3.696E+03
55;2.370E+15;2.260E+10;4.120E+12;7.180E+09;8.820E+15;2.548E+02;0.000E+00;1.472E-18;7.766E-03;3.508E-09;2.243E-10;5.997E-12;7.684E-01;5.391E+03
50;4.420E+15;6.680E+10;7.700E+12;5.790E+09;1.650E+16;2.600E+02;0.000E+00;2.530E-27;6.605E-03;2.817E-09;1.801E-10;4.816E-12;6.171E-01;7.140E+03
